Iteration,CPU,GPU,Hybrid
1,1.0119,1.8447,0.7196
2,0.6367,1.7531,0.4697
3,0.6105,1.9088,0.5606
4,0.5228,1.534,0.5863
5,0.7388,1.3703,0.4524
6,0.9534,2.2682,0.6642
7,1.4328,2.2956,0.7656
8,0.6658,1.3427,0.6949
9,0.7858,1.4267,0.5152
10,0.6258,1.4068,0.5106
11,0.5216,1.2404,0.4402
12,0.6234,1.3443,0.3898
13,0.6695,2.2309,0.3754
14,0.7413,2.0026,0.4987
15,0.6829,1.4097,0.4357
16,0.6245,1.5749,0.4819
17,1.1508,1.6194,0.7941
18,0.961,1.3526,0.8812
19,0.6803,2.2749,0.5876
20,0.646,2.5996,0.51
