Iteration,CPU,GPU,Hybrid
1,2.9726,1.9273,0.5127
2,2.5389,1.3762,0.3739
3,2.3031,1.2794,0.3844
4,1.8944,1.1808,1.0528
5,2.4126,1.2904,0.4916
6,1.7232,1.4494,0.4019
7,1.8738,1.8383,0.3827
8,1.6609,2.1354,0.3795
9,1.6655,1.5152,0.3736
10,1.9708,1.282,0.3396
11,1.6835,1.6042,0.3837
12,1.5661,1.6002,0.3151
13,1.6555,1.3464,0.3203
14,1.5129,1.6032,0.439
15,1.7146,1.4587,0.3631
16,1.5029,2.5125,0.4655
17,1.6932,1.9156,0.4309
18,1.5406,2.0588,0.4544
19,1.6504,1.3734,0.363
20,1.7684,1.4714,0.4429
